lc
18806642
21638891
25422091
4687395
11580840
3723115
8109185
34010121
10415600
23349201
54126178
19478391
41656573
74280584
23621365
14176800
13431302
29661626
17521218
22993647
11459532
4235526
11744787
3701562
2678692
18024652
16848883
7389599
4998523
13861334
24497936
9819031
3345023
1203372
32848936
8104153
9416139
4670340
9200947
8183527
2718600
6280260
2944807
1592490
1207784
2260645
2146725
3734482
6806338
2434099
3441202
4004684
1261791
5898765
1085156
6972309
3295458
1542623
1402279
3429436
1896683
5181838
6778536
1794871
1167127
6301459
4530342
1700701
4747554
4144909
9655648
7215363
2944251
3832811
510512
5367221
2310785
4757210
1418596
4341881
4854149
2187268
4259911
2236800
6717617
4995905
3198506
5452574
1855605
1036862
1813916
4949752
5469841
4149447
1956319
3472560
4624183
3861153
3572102
2055790
2689974
4866504
1464505
2825238
1030534
5601556
1922660
4556762
7906529
8905316
1642575
7298665
1552902
6036732
8706918
8043310
12210990
1486607
6351024
2618342
8668192
6484599
2638919
6463097
5982588
3446357
1598161
7321992
1358216
5969247
2784422
9780924
4117441
8171477
1484433
2446328
5620981
2421975
2607454
1385068
4648977
1939921
1546203
12255647
1949853
8185438
17267954
1562583
6907314
4787995
3218483
6190137
6054567
1733884
9486536
4144183
8023584
2343565
7396609
4492564
10016442
8314684
13390221
2337271
3207252
4690131
4821874
13708145
7170843
8829632
1927285
6472575
7602179
14881922
7999343
3115355
2075564
6776558
4533183
9643246
5263134
11760237
7239669
5350522
1569793
9987068
3193604
7301492
10121806
7239590
3331479
9004716
5293613
8217205
6414748
6977369
7330487
11791483
17073778
14250048
3229977
9837746
4173924
7362975
4704753
9862073
12648068
10447771
7998417
6046311
6085511
4788422
8117597
7688425
14685540
10659438
10379155
2338111
2586459
7260791
9281953
2438837
14923868
4181363
11616972
5133207
12389445
21882880
21054558
4219952
5283307
13747150
13489265
3921059
2141988
8202730
7307527
8289504
9298720
7466583
11383140
9562317
6843412
9859764
12611082
10832941
21808031
6938568
12450627
8534888
5788494
2790580
1387330
1492283
7537450
7123035
3479661
6244031
5747542
5504773
9401301
3914362
3691681
6420398
2265597
1803523
2612980
4469927
5664668
8466266
2406960
3157601
2632273
7922048
10032155
7266519
1513091
2438194
3284590
3853954
1588594
8939061
4736581
2641190
6811242
3215953
1530140
1151309
1627634
4653888
4309230
3455210
1174639
6464838
1535999
3662129
7063166
4797556
7315011
3668803
5994305
2062039
8350268
5461110
1263488
2008113
5497328
1663180
2078136
5344290
1659649
5580816
6193850
3552161
4463975
8444591
7081293
4510892
2795983
5212957
5665949
5789476
3489420
1708923
2228248
978462
5360470
1881570
1406092
5226411
3862176
3109582
4609403
9080245
5435738
6749439
2947393
1251028
11450645
16136285
1073397
4728082
5491595
5193193
1886008
5117076
4830410
6048518
6388415
5481924
2782714
5266723
4633165
5243343
6233855
813309
5761380
5790148
1622196
13009277
1209009
3636484
7412806
5774485
1532595
5606995
1788742
1662914
8431148
1682767
7533373
3760356
1888758
4302103
5703280
5760058
5592382
2808118
5966095
2428775
1669533
6589345
6625863
1697805
2353480
6181499
3886986
